약국명,우편번호,주소,전화번호,위도,경도
푸른약국,18442,경기도 화성시 동탄솔빛로 44 신성프라자 1층 104호 (반송동),031-8003-3355,37.1928999,127.0729529
가까운상생약국,13590,경기도 성남시 분당구 서현로180번길 19 비전월드 1층 101-13호 (서현동),031-702-8276,37.3873372,127.1224588
광안그린약국,48250,"부산광역시 수영구 광일로 49 109동 상가109호 (광안동, 비치그린아파트)",051-752-7980,35.1622314,129.1084625
센트럴약국,13640,"경기도 성남시 수정구 위례광장로 320 1층 114호 (복정동, 아이에스센트럴타워)",031-759-7588,37.4722451,127.1429497
조은온누리약국,11144,경기도 포천시 포천로 1568 (신읍동),,37.8980047,127.2049073
새한독약국,51264,"경상남도 창원시 마산합포구 완월동15길 15 (장군동4가, 청원그린빌라)",055-242-8275,35.1997101,128.5662821
사과나무약국,13618,경기도 성남시 분당구 성남대로 168 미도프라자 6층 603-1호 (금곡동),031-719-7704,37.3508865,127.1094943
사랑탑약국,22675,"인천광역시 서구 청마로19번길 3 1층 (당하동, 드림빌딩)",032-569-7117,37.592395,126.6707201
한빛약국,24015,강원도 철원군 동송읍 이평로 51-2 한빛약국,033-455-7320,38.209452,127.2181507
연두약국,21574,"인천광역시 남동구 인하로489번길 4 1층일부호 (구월동, 교보생명)",032-434-2250,37.4436365,126.7012603
동부약국,53331,경상남도 거제시 동부면 동부로 1-1 (),070-8817-5833,34.8227762,128.60773
샘터온누리약국,10311,"경기도 고양시 일산동구 하늘마을1로 2 107호 (중산동, 풍산프라자)",031-976-3105,37.6745313,126.7860201
하나로약국,54854,전라북도 전주시 덕진구 비석날로 20 농협하나로마트 1층 (여의동),,35.8532223,127.0780842
평강약국,12209,경기도 남양주시 와부읍 덕소로 87 (),031-576-3002,37.5864828,127.212342
행복한약국,51595,경상남도 창원시 진해구 냉천로 91 벚꽃메디칼상가 (석동),055-542-0927,35.15334,128.7067207
가정약국,57219,전라남도 장성군 장성읍 영천로 208-1 (장성읍),061-393-7576,35.3028917,126.7856067
드림약국,24364,강원도 춘천시 방송길 104 5층 (온의동),033-253-7588,37.8675179,127.7208602
마음약국,2573,서울특별시 동대문구 왕산로 183 1층 (청량리동),02-964-0675,37.5799292,127.0435913
탄방으뜸약국,35262,대전광역시 서구 문정로60번길 20 SN 빌딩 1층 (탄방동),042-471-7711,36.3458263,127.3857778
여기약국,14016,경기도 안양시 만안구 박달로 476 대원빌딩 102-1호 (박달동),031-465-0675,37.402084,126.9052215
기린약국,39832,경상북도 칠곡군 석적읍 유학로 1 (),054-977-7100,36.0805068,128.4110376
유리약국,61404,광주광역시 동구 참판로 29 (계림동),062-223-0880,35.1618991,126.9285905
이룸약국,48492,부산광역시 남구 수영로 216-2 1층 (대연동),051-626-2237,35.1347861,129.0903343
정문약국,26427,강원도 원주시 일산로 23 (일산동),033-743-8747,37.3490476,127.9472672
권약국,16455,경기도 수원시 팔달구 덕영대로895번길 8 1호 (매산로1가),256-8490,37.2688052,127.0001578
철인약국,11670,경기도 의정부시 시민로 83 107호 (의정부동),070-8884-2980,37.7387725,127.0445231
영도서울약국,49056,"부산광역시 영도구 영선대로 75 삼호빌딩 2층, 일부층 (영선동2가)",,35.0877774,129.0417146
더힘찬약국,4737,서울특별시 성동구 독서당로 302 3층 (금호동4가),02-2299-0104,37.5476208,127.0227221
메디팜서창약국,21614,인천광역시 남동구 서창남순환로215번길 35 109호 (서창동),032-461-8842,37.4254896,126.7470575
한결약국,5504,"서울특별시 송파구 올림픽로35길 124 2동 410,411호 (신천동, 장미아파트 에이상가)",02-412-4246,37.5174925,127.1009378
문정이화약국,5854,서울특별시 송파구 법원로 114 엠스테이트 C동 214호 (문정동),02-2283-1153,37.4857987,127.1206993
평화온누리약국,10306,경기도 고양시 일산동구 숲속마을1로 73 신성메디칼 타운 1층 106호 (풍동),070-4121-3223,37.6676488,126.7998884
최약국,26130,강원도 정선군 정선읍 정선로 1348 (정선읍),033-563-0557,37.3795295,128.663777
맑음약국,8754,서울특별시 관악구 남부순환로 1635 1층 (신림동),02-877-0113,37.4848448,126.9323362
더조은약국,33635,충청남도 서천군 서천읍 사곡로43번길 1 (),041-953-6227,36.0839914,126.6878613
샘물약국,13010,경기도 하남시 위례학암로14번길 18 서미프라자 1층 110호 (학암동),02-449-7701,37.4874441,127.1564189
통영항약국,53067,"경상남도 통영시 새터길 15 (도천동, 성모의원)",055-643-4520,34.8408406,128.4176827
현대메디칼약국,21405,인천광역시 부평구 경원대로 1242 (산곡동),032-523-2233,37.4876012,126.7088392
행복한약국,10446,경기도 고양시 일산동구 강송로73번길 7-19 1층 (백석동),031-908-7733,37.6458433,126.7908337
온누리명성약국,21524,"인천광역시 남동구 만수로 43 (만수동, 1층일부)",462-4032,37.4603252,126.7331894
임학약국,21034,인천광역시 계양구 장제로 871 훼밀리빌딩 1층 (임학동),032-541-1312,37.5449614,126.7381522
한솔약국,44962,울산광역시 울주군 웅촌면 삼동로 1621 (),052-225-6888,35.4893456,129.2131107
스카이약국,44530,울산광역시 중구 번영로 371 1층 102호 (학산동),052-291-2660,35.5582223,129.3268217
경희프라자약국,12976,경기도 하남시 신장로 159 (덕풍동),031-795-3452,37.5399453,127.2013706
보룡약국,3397,서울특별시 은평구 통일로 707 1층 (대조동),02-356-6321,37.6089798,126.9309333
우리아이약국,31123,"충청남도 천안시 동남구 만남로 50 1층 104호 (신부동, 터미널프라자)",041-555-0103,36.8186482,127.1576124
정성약국,16439,경기도 수원시 팔달구 장안로 3 (화서동),031-256-7614,37.2854388,127.0069601
다보약국,12138,경기도 남양주시 진건읍 사릉로 431 (진건읍),031-573-9028,37.657107,127.1766728
대학약국,12019,경기도 남양주시 진접읍 광릉내로 108 (진접읍),031-574-3069,37.7464075,127.2059157
미소약국,44507,울산광역시 중구 번영로 566 1층 (남외동),052-295-3489,35.5681607,129.3439504
도 약국,13188,경기도 성남시 중원구 금빛로 43 1층 104호 (금광동),031-778-6521,37.4457443,127.1673424
중동현대약국,14546,"경기도 부천시 석천로183번길 35 303호 (중동, 영플러스3차)",032-328-1636,37.5039147,126.7611243
행복한약국,52650,경상남도 진주시 진양호로 72 1층 (평거동),055-747-0908,35.1668274,128.0476456
건강한약국,41528,대구광역시 북구 복현로 34-1 1층 (복현동),,35.895003,128.6246126
태평보룡약국,13291,경기도 성남시 수정구 수정로171번길 11-1 동남빌딩 1층 (태평동),031-752-9701,37.4439773,127.1383221
상남2층약국,51503,"경상남도 창원시 성산구 마디미서로 51 (상남동, 서울메디칼빌딩)",055-284-7931,35.2207263,128.6813176
미소약국,51489,경상남도 창원시 성산구 가음로 100 (가음동),055-285-8575,35.2040182,128.7031587
새미래약국,44010,울산광역시 동구 방어진순환도로 1160 새미래약국 (서부동),052-236-1356,35.539734,129.4219726
푸른약국,54831,전라북도 전주시 덕진구 시천로 49 (송천동2가),063-278-8300-1,35.8636019,127.1143508
푸른약국,56315,전라북도 부안군 부안읍 석정로 233 (부안읍),063-584-4500,35.7247137,126.7375691
세웅약국,34892,대전광역시 중구 평촌로105번길 73 (태평동),042-531-5656,36.3259415,127.397192
오성옵티마약국,15856,"경기도 군포시 고산로 248 104호 (당동, 은하프라자)",031-399-5888,37.3462582,126.9448574
남사약국,17118,경기도 용인시 처인구 남사면 내기로 10 (남사면),031-333-0363,37.1140901,127.1501238
장기참사랑약국,42685,"대구광역시 달서구 한들로 36 116동 104호 (장기동, 장기영남네오빌파크상가)",053-522-8700,35.8474424,128.5262728
대명약국,50909,경상남도 김해시 가락로 231 (구산동),055-333-1142,35.2459701,128.8746985
미래팜영통약국,16703,"경기도 수원시 영통구 봉영로 1569 409-1호 (영통동, 뉴월드프라자)",031-203-1330,37.2520638,127.0710165
태평양메디컬온누리약국,21614,"인천광역시 남동구 서창남로 81 투엠프라자 1층 112,113호 (서창동)",032-465-3333,37.4262867,126.7480493
세진약국,21091,인천광역시 계양구 계양대로 82 (작전동),032-542-4708,37.5310997,126.7230078
큰나무약국,50862,경상남도 김해시 진영읍 김해대로361번길 8 (),055-342-5734,35.3074876,128.7297998
현약국,44048,울산광역시 동구 방어진순환도로 725 (전하동),052-252-4874,35.5065426,129.4296835
우리온누리약국,10324,경기도 고양시 일산동구 위시티로 34 1층 일부호 (식사동),031-969-9004,37.6754406,126.8091033
숙명온누리약국,4310,"서울특별시 용산구 청파로47길 66 (청파동2가, 중하빌딩)",02-717-6415,37.5450385,126.9667866
중마약국,57788,전라남도 광양시 중마중앙로 83 (중동),061-793-5607,34.9376961,127.6977322
솔빛한약국,18442,경기도 화성시 동탄솔빛로 64 가희프라자2 5층 505호 (반송동),031-8003-7676,37.1942175,127.0746368
압구정미약국,6030,"서울특별시 강남구 논현로175길 25 1층 (신사동, 다보빌딩)",02-548-0085,37.5254436,127.0266599
참좋은약국,49202,부산광역시 서구 대신공원로 23 (서대신동3가),051-255-2267,35.1201323,129.0162654
롯데약국,44705,울산광역시 남구 삼산로 285 1층 (삼산동),052-275-0098,35.5397713,129.3381056
영통대우약국,16704,"경기도 수원시 영통구 봉영로 1620 101호 (영통동, 대우월드마크)",031-204-7133,37.255323,127.0754725
동아약국,26428,강원도 원주시 원일로 114 (중앙동),033-743-7588,37.3499886,127.9487173
굿밸런스온누리약국,16500,경기도 수원시 영통구 월드컵로150번길 30 사랑의 의원 102호 (원천동),031-895-5540,37.2783438,127.0502292
시장약국,52518,경상남도 사천시 사천읍 평화1길 42 42,055-855-4567,35.082975,128.088525
역삼태평양약국,6135,서울특별시 강남구 논현로 564 1층 (역삼동),02-3453-4954,37.5063354,127.0346621
수한약국,62343,광주광역시 광산구 목련로 74 1층 (산정동),,35.1721581,126.8057347
위드팜신한솔약국,11765,경기도 의정부시 천보로 268 (금오동),,37.7580954,127.079122
방배참약국,6695,서울특별시 서초구 효령로 120 1층 102호 (방배동),02-598-7588,37.4810847,126.9974386
태백김약국,26007,강원도 태백시 광장로 16 (황지동),033-552-4702,37.1773332,128.9858866
참약사다온약국,32969,충청남도 논산시 중앙로 464 논산센트럴타워 1층 (반월동),041-733-2815,36.2046911,127.085332
우리힐약국,58687,전라남도 목포시 옥암로 77-1 (옥암동),061-276-3939,34.8061287,126.4269251
튼튼약국,57950,전라남도 순천시 이수로 319 1층 (조례동),061-721-7573,34.9539104,127.5185726
매일봄약국,12150,경기도 남양주시 늘을2로 26 메인시네마타워 607호 (호평동),031-594-7770,37.6550783,127.2441115
우리약국,18341,"경기도 화성시 융건로 91 B105호 (기안동, 풍성신미주타운)",031-898-7997,37.219524,126.988452
나주하나약국,58323,전라남도 나주시 정보화길 50 103호 (빛가람동),061-820-7702,35.0237898,126.7994583
조이팜약국,49371,부산광역시 사하구 감천로 55 1층 (감천동),051-201-0565,35.0905205,128.9987461
중앙약국,48516,"부산광역시 남구 분포로 111 1003동 302호 (용호동, 엘지메트로시티)",051-626-5525,35.1279925,129.1121446
365 대기없는 약국,61468,광주광역시 동구 백서로 157 (서석동),070-4833-4222,35.1432674,126.9222535
동국약국,37754,경상북도 포항시 북구 포스코대로 241 (죽도동),054-283-0283,36.0229571,129.3518164
민선당약국,22215,인천광역시 미추홀구 인하로 269 (주안동),032-864-9282,37.4483223,126.6780788
청명한약국,61455,"광주광역시 동구 남문로753번길 20 B동 112호 (학동, 무등산아이파크)",062-674-1398,35.1371912,126.9231831
대흥약국,38060,경상북도 경주시 충효5길 9-11 (충효동),054-742-3737,35.8445886,129.1786021
다사랑약국,11748,경기도 의정부시 시민로 247 (신곡동),031-842-3412,37.7359921,127.0623479
새로운 약국,32142,충청남도 태안군 태안읍 중앙로 33 1층,041-673-1672,36.7557623,126.2940299
온누리동산약국,22125,인천광역시 미추홀구 길파로 26 (주안동),032-875-0022,37.4680728,126.6798064
인창온누리약국,11918,"경기도 구리시 건원대로 91 (인창동, 중앙빌딩)",031-552-1616,37.6090687,127.1382395
고성군민약국,24717,강원도 고성군 거진읍 거진시장길 10 (거진읍),033-682-1594,38.4474767,128.4551988
한국약국,22800,인천광역시 서구 서달로163번길 9 (석남동),032-581-9297,37.5130743,126.677916
수 약국,11478,"경기도 양주시 옥정동로1길 63 후문상가1동 105호 (옥정동, e편한세상 옥정 에듀써밋)",031-858-8748,37.816633,127.0932062
광주약국,57124,전라남도 함평군 월야면 밀재로 1511 (월야면),061-323-3377-8,35.1799378,126.6271346
구세약국,14754,경기도 부천시 경인로 326 (소사본동),032-349-4705,37.482091,126.7916698
센트럴시티약국,14537,경기도 부천시 길주로 181 골든벨타워 1층 101호 (중동),032-321-6185,37.5053065,126.7626388
하나약국,49036,부산광역시 영도구 태종로 107 영도오션트라움 105호 (영선동1가),051-975-1200,35.0913194,129.042746
퍼스트케어약국,13248,경기도 성남시 중원구 산성대로 338-2 1층 101호 (중앙동),070-7622-8979,37.4432345,127.1542956
목포약국,59002,전라남도 해남군 화원면 금평길 3 목포약국,,34.6684697,126.3285399
당고개약국,1634,서울특별시 노원구 상계로 309-1 (상계동),02-930-5142,37.6708593,127.0800083
평화온누리약국,11674,경기도 의정부시 둔야로 36 (가능동),031-876-1549,37.7391264,127.039913
정성가득약국,14073,경기도 안양시 동안구 시민대로160번길 20 평촌롯데식품관 1층 (호계동),,37.388535,126.9501917
송도이레약국,22002,인천광역시 연수구 해돋이로172번길 42 103호 (송도동),-,37.3980293,126.6480176
제생약국,1342,서울특별시 도봉구 도당로 94 (방학동),02-956-3675,37.6656388,127.037391
정마루약국,16689,"경기도 수원시 영통구 영통로 195 4층 403호 (망포동, 골든스퀘어)",031-204-3181,37.2452099,127.0558468
용암약국,31166,"충청남도 천안시 서북구 월봉로 134 (쌍용동, 리치프라자)",070-4240-7098,36.8025838,127.1191325
설아약국,7803,서울특별시 강서구 마곡중앙6로 65 지투프라자 1층 101호 (마곡동),0507-1326-2189,37.5604253,126.8347194
바우약국,25540,강원도 강릉시 금성로22번길 10 1층 (금학동),033-642-1164,37.7547463,128.8976279
신불당하나로약국,31156,"충청남도 천안시 서북구 불당25로 200 (불당동, 천안농협)",041-569-1234,36.8188843,127.109134
하나로약국,57967,전라남도 순천시 연향중앙상가길 29 1층 (연향동),061-723-0313,34.9510509,127.5201407
대유약국,3654,서울특별시 서대문구 모래내로 359 (홍은동),02-379-4416,37.5818747,126.9358991
명진약국,47250,부산광역시 부산진구 중앙대로 803 1층 일부 (부전동),051-819-9909,35.1636217,129.0632766
행복이열리는약국,31530,"충청남도 아산시 서부북로 973 115호 (배미동, 서진아파트상가)",041-548-4163,36.78942,126.967424
무궁화약국,42840,"대구광역시 달서구 월곡로 112 상가 510동 101, 102호 (상인동, 은행아파트)",053-636-7580,35.8076705,128.5504897
신창약국,31804,충청남도 당진시 면천면 한천로 877 식당,041-357-5423,36.8163208,126.6658979
미성약국,16388,"경기도 수원시 권선구 금곡로102번길 15 3층 328호 (금곡동, 비즈웍스)",031-292-3579,37.2734451,126.941891
신영흥약국,35301,대전광역시 서구 도산로 353 (용문동),042-523-5633,36.336579,127.3906971
하나약국,58712,전라남도 목포시 청호로 8 (호남동),061-243-5355,34.7961828,126.3865346
S메디칼약국,22011,"인천광역시 연수구 하모니로178번길 6 121,122,123호 (송도동)",032-833-7599,37.3823145,126.6413836
안암약국,2842,서울특별시 성북구 개운사길 27 원영스위트 1층 101호 (안암동5가),02-929-1836,37.5875232,127.0291289
평내진약국,12218,"경기도 남양주시 경춘로1308번길 8-8 9-1,9-2호 (평내동, 대명아파트)",031-595-8279,37.6501416,127.2386766
명수대약국,6973,서울특별시 동작구 서달로 151 (흑석동),02-813-2558,37.5069677,126.9615338
신성모약국,5084,서울특별시 광진구 뚝섬로24길 3 (자양동),02-462-0382,37.5362748,127.0637721
광실약국,4170,"서울특별시 마포구 도화길 32 101호 (도화동, 삼성프라자상가)",02-711-3627,37.5408691,126.9494885
한유약국,4149,서울특별시 마포구 백범로 96 1층 (대흥동),02-716-8330,37.547643,126.9420401
군자백화점약국,4985,서울특별시 광진구 천호대로 574 (능동),02-3436-2088,37.5560199,127.0815493
솔약국,3712,서울특별시 서대문구 수색로 32 (남가좌동),02-372-3775,37.5695019,126.9151317
행복한온누리 약국,34868,대전광역시 중구 선화로 20 (용두동),042-223-9141,36.3256009,127.4116319
십자약국,34980,대전광역시 중구 대둔산로 470 (산성동),042-585-0263,36.3109493,127.3887195
하나로약국,34019,"대전광역시 유성구 테크노4로 133 101,102호 (관평동)",042-935-3467,36.4229632,127.388244
열린약국,30028,세종특별자치시 조치원읍 새내로 77-1 77,044-862-2826,36.5988655,127.2983308
다온약국,35206,"대전광역시 서구 청사로 282 (둔산동, 수정타운)",042-484-1488,36.3859867,127.3488912
삼성약국,17873,"경기도 평택시 중앙로 335 1,2층 103,104,203호 (비전동, 벽산아파트)",657-0311,36.9919827,127.1197515
영광메디컬약국,8838,"서울특별시 관악구 신림로 158 1층 1호 (신림동, 영광빌딩)",02-873-4760,37.4729331,126.9338947
건강약국,48579,부산광역시 남구 용호로 129 두산빌딩 1층 (용호동),051-611-1249,35.1206436,129.1123661
가람약국,3168,"서울특별시 종로구 사직로8길 4 301동 B127호 (사직동, 광화문 풍림스페이스본)",02-733-9303,37.5744035,126.9686008
수온누리약국,55764,전라북도 남원시 남문로 401 (왕정동),063-634-2461,35.4067805,127.3754107
베스트약국,14985,경기도 시흥시 목감우회로 51 109호 (목감동),031-482-2588,37.3822473,126.8619256
경산약국,51181,"경상남도 창원시 의창구 창이대로 203 (봉곡동, 두성상가)",055-276-3707,35.2450641,128.6596283
메디칼약국,51609,"경상남도 창원시 진해구 안청남로 28 (안골동, 메디칼약국)",055-551-7668,35.1010068,128.8060191
상록수약국,51265,"경상남도 창원시 마산합포구 장장군로 31 (장군동4가, 상록수약국)",055-247-4280,35.1969895,128.5655985
단비약국,51648,경상남도 창원시 진해구 진해대로 958 (자은동),055-551-6148,35.1442172,128.7068969
미래경남약국,51210,"경상남도 창원시 마산회원구 3·15대로 727 (합성동, 매디칼센타)",055-256-0133,35.2372384,128.5812189
하나로운암약국,61261,광주광역시 북구 북문대로 39 (운암동),062-511-3001,35.1750027,126.8811704
엘리트약국,3779,"서울특별시 서대문구 신촌로 99 5층 (창천동, 엘리트빌딩)",02-392-5505,37.5556897,126.9371958
마석늘건강약국,12166,경기도 남양주시 화도읍 비룡로 113 102호 (지호프라자),031-595-8582,37.6619427,127.3026783
신화약국,8787,서울특별시 관악구 관악로 153 (봉천동),02-885-2078,37.4790258,126.9520504
신우약국,48820,부산광역시 동구 중앙대로 169 (초량동),051-463-3728,35.1129414,129.0381714
용운태평양약국,34526,대전광역시 동구 백룡로 145 2층 (용운동),042-284-5554,36.3280069,127.4543488
관평뜰약국,34019,"대전광역시 유성구 관평2로 56 (관평동,도오프라자 101호)",042-935-1119,36.4220648,127.3880874
도구제일약국,37926,경상북도 포항시 남구 동해면 일월로 140-1 (동해면),054-285-2024,35.9876096,129.448325
마송새천년약국,10018,경기도 김포시 통진읍 조강로 35 (통진읍),031-981-9098,37.6893523,126.6011001
굿윌정약국,4332,서울특별시 용산구 후암로 47 1층 (후암동),02-757-6776,37.5500564,126.977122
하늘온누리약국,22187,인천광역시 미추홀구 낙섬중로32번길 15 (용현동),032-891-8575,37.4511038,126.6380243
강남약국,52709,경상남도 진주시 진주대로 891 (강남동),055-752-6101,35.1798583,128.0902774
성도약국,44722,"울산광역시 남구 삼산로 74 (달동, 롯데마트울산점)",052-275-1122,35.5339781,129.3159084
유한약국,53043,경상남도 통영시 무전8길 13-38 107호 (무전동),055-642-3570,34.8580697,128.4278425
평화약국,52017,경상남도 함안군 칠원읍 용산2길 7 (칠원읍),055-587-2939,35.3076019,128.5172023
플러스약국,50629,경상남도 양산시 양산역1길 24 영동프라자 107호 (중부동),055-381-9706,35.3369759,129.0276538
한일약국,52796,경상남도 진주시 동진로 176 (상대동),055-761-8532,35.1794467,128.1103068
미보약국,52818,경상남도 진주시 동부로169번길 12 윙스타워 C동 112호 (충무공동),752-2841,35.1648818,128.1272793
제일약국,50346,경상남도 창녕군 영산면 연지길 37-1 (영산면),055-536-7022,35.4546642,128.5298249
원광당한약국,61197,광주광역시 북구 서방로 167 (두암동),062-261-9700,35.1692606,126.9305699
민약국,61087,광주광역시 북구 첨단연신로 97 305호 (신용동),062-575-8728,35.206596,126.8640276
미소약국,11948,경기도 구리시 장자대로 72 미림프라자 403호 (수택동),031-562-1490,37.587267,127.1384755
정성약국,13590,"경기도 성남시 분당구 황새울로335번길 5 101호 (서현동, 엔타운빌딩)",031-696-1231,37.3860493,127.1216975
삼일약국,1110,서울특별시 강북구 삼양로 241 1층 (미아동),02-945-3132,37.6251172,127.0181088
사랑온누리약국,6169,서울특별시 강남구 삼성로92길 27 지하1층 (삼성동),02-555-1130,37.5083801,127.0585572
현대약국,10089,"경기도 김포시 태장로 820 111호 (장기동, 엠프라자)",031-981-2490,37.6368299,126.6770136
건강백세약국,31071,충청남도 천안시 동남구 충절로 535-3 1층 (삼룡동),571-1532,36.7765935,127.1777318
가까운 약국,6567,서울특별시 서초구 동작대로 140 송언빌딩 1층 (방배동),,37.4891129,126.9828009
조이약국,4624,서울특별시 중구 퇴계로 220 1층 (충무로4가),02-2269-5948,37.5615229,126.9962515
아름다운약국,10336,"경기도 고양시 일산동구 중산로 253 106,107호 (중산동)",031-976-9537,37.6947124,126.7805227
원당한약국,61663,광주광역시 남구 양림로 72 (양림동),062-675-5275,35.1376177,126.9165961
금새약국,47257,"부산광역시 부산진구 가야대로 785 (부전동, 성영빌딩)",051-805-7004,35.1581247,129.0574677
종로이화약국,13522,경기도 성남시 분당구 판교로 435 동양프라자 1층 108호 (야탑동),031-701-8002,37.4057394,127.1222037
합격약국,6913,서울특별시 동작구 만양로14길 57 (노량진동),02-3280-2680,37.5126485,126.947277
보명약국,3690,"서울특별시 서대문구 거북골로 120 206동 2-12호 (남가좌동, 가재울 센트레빌)",02-308-5197,37.5761735,126.9157281
365자양미소약국,5098,서울특별시 광진구 뚝섬로 606 1층 (자양동),02-453-7985,37.5326708,127.0768739
한가람약국,2439,서울특별시 동대문구 망우로 77 1층 (휘경동),02-3394-4865,37.5902089,127.0617848
푸른약국,4332,서울특별시 용산구 후암로 41 1층 (후암동),02-3789-1460,37.549582,126.9772883
명지약국,30123,세종특별자치시 다정중앙로 58 다정메디프라자 108호 (다정동),044-862-7567,36.495625,127.2492274
정왕큰사랑약국,15040,"경기도 시흥시 중심상가로 47 101호 (정왕동, 시화성모병원(민우프라자))",031-488-8875,37.3524334,126.723559
민정약국,34640,대전광역시 동구 동대전로 72-1 1층 (대동),042-282-6264,36.3291028,127.442574
수레실약국,12772,경기도 광주시 오포읍 수레실길 3-2 (오포읍),031-716-1190,37.3508902,127.1660697
녹양약국,11610,"경기도 의정부시 체육로 306-28 106호 (녹양동, 굿모닝프라자)",031-829-3147,37.7599313,127.0413696
이화사랑약국,11710,"경기도 의정부시 평화로 228 108호 (호원동, 로뎀프라자)",031-873-3579,37.7122087,127.047788
파라곤1층약국,12912,경기도 하남시 미사강변동로 100-1 미사역 파라곤 스퀘어 1027호 (망월동),031-795-5973,37.5639612,127.1936001
늘봄약국,1005,서울특별시 강북구 삼양로 603 1층 (우이동),02-998-1989,37.656879,127.0132061
건강플러스약국,5211,"서울특별시 강동구 아리수로93길 27 108호 (강일동, 강일타워)",02-427-8056,37.5656316,127.1738307
365행복약국,21653,인천광역시 남동구 논고개로123번길 35 칼리오페 1층 A동 126호 (논현동),032-429-8184,37.4015154,126.7220901
한그루약국,63013,제주특별자치도 제주시 한림읍 한림상로 116 103호,064-796-5077,33.4099257,126.265486
즐거운약국,62252,광주광역시 광산구 신창로 64 프뤼몰타운 109호 (신창동),062-955-9066,35.1909362,126.8373949
신지월약국,12729,경기도 광주시 초월읍 산수로 524 (초월읍),031-769-7420,37.4075197,127.3086845
대화약국,51265,"경상남도 창원시 마산합포구 완월동8길 27 (장군동4가, 녹턴음악원)",055-242-5600,35.1982676,128.5655926
영진약국,6069,"서울특별시 강남구 학동로 421 1층 일부호 (청담동, 원영빌딩)",02-545-3121,37.5183992,127.0462942
펄약국,13824,경기도 과천시 과천대로2길 48 펄어비스 B108 (갈현동),070-4141-1204,37.4064679,126.9836162
원약국,10391,경기도 고양시 일산서구 호수로 817 레이킨스몰 264(일부)호 (대화동),070-4156-7861,37.6682829,126.7511979
엘림약국,8100,"서울특별시 양천구 목동로3길 57 (신정동, 양천아파트 상가)",02-2642-8851,37.509736,126.8631234
부평평화약국,21395,"인천광역시 부평구 시장로 32 1층 102,103호 (부평동)",032-710-9415,37.4935787,126.7261913
참약사 대장약국,13544,경기도 성남시 분당구 판교대장로6길 10 107호 (대장동),031-716-5770,37.3667327,127.0683797
온누리자혜약국,8332,서울특별시 구로구 개봉로 66 (개봉동),02-2687-2770,37.4915599,126.856254
인천굿모닝약국,21594,"인천광역시 남동구 장승남로 37 1층 (만수동, 스카이프라자)",471-5134,37.4436499,126.736418
시민온누리약국,52860,경상남도 진주시 관문로 7 율곡스퀘어 프런티어 115호 (가좌동),753-7307,35.1522174,128.1168615
솔 약국,50527,경상남도 양산시 서창로 166 (삼호동),055-366-9959,35.4143709,129.1707977
오리약국,6921,서울특별시 동작구 만양로 3 101호 (상도동),02-813-0526,37.5052307,126.946447
아라큰약국,52072,경상남도 함안군 산인면 학산2길 17-52 (),055-585-7335,35.2747071,128.4321612
나리약국,10874,"경기도 파주시 청석로 268 404호 (동패동, 미소시티)",031-948-4064,37.7258062,126.7176509
정약국,18433,경기도 화성시 동탄지성로 134 한솔프라자 108호 (능동),031-8077-4718,37.2095824,127.0609874
인화약국,46022,부산광역시 기장군 정관읍 정관덕산길 36 (예림전기조명),051-728-5520,35.3225439,129.1834815
호랑약국,16452,경기도 수원시 팔달구 팔달로 53 108호 (고등동),031-256-2278,37.2735426,127.0018614
송이약국,3157,서울특별시 종로구 종로 19 르메이에르종로타운1 2층 206-1호 (종로1가),02-720-1777,37.5708345,126.9798606
킨텍스아는약국,10391,"경기도 고양시 일산서구 킨텍스로 240 142호 (대화동, 킨텍스 꿈에그린)",031-911-6002,37.6659014,126.7504499
신우약국,2573,서울특별시 동대문구 홍릉로 5-1 1층 (청량리동),02-961-8833,37.5808863,127.0447717
서울온누리약국,5047,"서울특별시 광진구 구의강변로 99 (구의동, 용천빌딩)",02-455-5191,37.5395277,127.0938519
신흥약국,26431,강원도 원주시 원일로 91 (일산동),033-731-3893,37.3487967,127.9497129
파랑새약국,6953,서울특별시 동작구 상도로 81 지하1층 (대방동),02-824-5150,37.499959,126.9295669
우리온누리약국,16660,경기도 수원시 권선구 경수대로 193 세류비즈타워 1층 105호 (세류동),031-232-1006,37.2444658,127.0171928
유약국,50948,경상남도 김해시 내외중앙로 35 아카데미 빌딩 (외동),055-338-2640,35.2332003,128.8660487
단골약국,7061,서울특별시 동작구 보라매로 61-1 (신대방동),02-821-3157,37.4949921,126.9271457
생생약국,52817,경상남도 진주시 가호로 41 1층 103호 (호탄동),055-763-9393,35.1638694,128.1106712
준효약국,1824,서울특별시 노원구 공릉로 138 준효약국 1층 (공릉동),02-972-3495,37.6221926,127.0793745
고양힐약국,10271,경기도 고양시 덕양구 보광로 2 1층 일부호 (고양동),031-967-7744,37.7171569,126.9012439
메디팜최약국,46505,"부산광역시 북구 금곡대로616번길 55 105호 (금곡동, 유림상가)",051-363-4460,35.2630212,129.0162521
일출약국,4049,서울특별시 마포구 독막로 85 1층 (상수동),02-333-3806,37.5477717,126.9224099
큰마산약국,51264,경상남도 창원시 마산합포구 완월동15길 20 (장군동5가),055-221-1382,35.1998615,128.5661618
큰사랑약국,15448,경기도 안산시 단원구 광덕1로 62 아트프라자 1층 115호 (초지동),031-410-3767,37.3081662,126.8162857
